Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;IFSUL - CAMPUS PELOTAS;43101267;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"PRACA VINTE DE SETEMBRO, 455 CENTRO. 96015-360 Pelotas - RS.";(53) 21231000;Federal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Médio, Educação Profissional";;-31.76612;-52.35218
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEF CARLOS LAQUINTINIE;43101275;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"PRACA DOMINGOS RODRIGUES, 4 CENTRO. 96010-440 Pelotas - RS.";(53) 32221095;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-31.78115;-52.33436
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN ADOLFO FETTER;43101283;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"AV FERNANDO OSORIO 4078, 4078 TRES VENDAS. 96065-040 Pelotas - RS.";(53) 32735705;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-31.71546;-52.34222
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEF AFONSO VIZEU;43101291;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA FRANCISCO MOREIRA, 285 AREAL. 96077-080 Pelotas - RS.";(53) 32280697;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";"Atendimento Educacional Especializado, Atividade Complementar";-31.75591;-52.31443
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEF ALMIRANTE RAPHAEL BRUSQUE;43101305;RS;Pelotas;Rural;A escola não está em área de localização diferenciada;Pública;"AVENIDA RAPHAEL BRUSQUE, 61 COLONIA Z3. 96130-000 Pelotas - RS.";(53) 32260144;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";"Atendimento Educacional Especializado, Atividade Complementar";;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEF ALMIRANTE JOSE SALDANHA DA GAMA;43101313;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA JOSE FAUSTINI, 341 BOM JESUS. AREAL. 96080-630 Pelotas - RS.";(53) 32288040;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";"Atendimento Educacional Especializado, Atividade Complementar";-31.74441;-52.31705
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN DR PROCOPIO DUVAL GOMES DE FREITAS;43101321;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"R PLACIDO DE CASTRO 634, 634 LINDOIA. 96065-710 Pelotas - RS.";(53) 32738111;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-31.7636727;-52.3418689
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEF CECILIA MEIRELES;43101330;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA PROFESSOR SOUZA LOBO, 439 AREAL. 96080-200 Pelotas - RS.";(53) 32284022;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";"Atendimento Educacional Especializado, Atividade Complementar";-31.75106;-52.32333
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS MED CORONEL PEDRO OSORIO;43101348;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"R GENERAL OSORIO 818, 818 CENTRO. 96020-000 Pelotas - RS.";(53) 32224103;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";;-31.76458;-52.34174
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN DIRCEU MOREIRA;43101356;RS;Pelotas;Rural;A escola não está em área de localização diferenciada;Pública;"ETR COLONIA SANTA SILVANA SN, SN SEXTO DISTRITO SANTA. 96110-000 Pelotas - RS.";;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-31.44457;-52.31318
