Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEF NOSSA SENHORA DE LOURDES;43101666;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA GENERAL JOAO NUNES DA SILVA TAVARES, 165 FRAGATA. 96045-080 Pelotas - RS.";(53) 32714288;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";Atividade Complementar;-31.75105;-52.39678
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN NOSSA SENHORA MEDIANEIRA;43101674;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"R ALMIRANTE BARROSO 2442, 2442 CENTRO. 96010-280 Pelotas - RS.";(53) 32223033;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-31.76612;-52.33488
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEF NOSSA SENHORA DO CARMO;43101682;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA DOUTOR AMARANTE, 956 CENTRO. 96020-720 Pelotas - RS.";(53) 32291542;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atividade Complementar;-31.7563429666667;-52.3470313833333
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEF OLAVO BILAC;43101690;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA PROFESSOR PAULO ZANOTTA DA CRUZ, 276 FRAGATA. 96050-000 Pelotas - RS.";(53) 32716500;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";Atividade Complementar;-31.7399;-52.38494
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEF OSVALDO CRUZ;43101704;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA SAO FRANCISCO, 259 SANTA TEREZINHA. TRES VENDAS. 96065-470 Pelotas - RS.";(53) 32233140;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";"Atendimento Educacional Especializado, Atividade Complementar";-31.72344;-52.35055
ESCOLA PARALISADA;EEEF PADRE ANCHIETA;43101712;RS;Pelotas;Urbana;Não Informado;Pública;"AVENIDA DOMINGOS JOSE DE ALMEIDA, 3150 AREAL. 96085-470 Pelotas - RS.";(53) 32281200;Estadual;Não Informado;Não;;;;;-31.75141;-52.30139
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN PADRE RAMBO;43101720;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"R RUA FREDERICO TREBBI 47, 47 SAO GONCALO. 96075-650 Pelotas - RS.";(53) 33051703;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";Atendimento Educacional Especializado;-31.77221;-52.32957
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN PROFESSORA LELIA ROMANELLI OLMOS;43101739;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"AV JOAO GOMES NOGUEIRA 271, 271 AREAL. 96085-200 Pelotas - RS.";(53) 32281377;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-31.74737;-52.29684
ESCOLA PARALISADA;EEEF SAGRADO CORACAO DE JESUS;43101747;RS;Pelotas;Urbana;Não Informado;Pública;"RUA PADRE ANCHIETA, 812 CENTRO. 96015-420 Pelotas - RS.";(53) 32279903;Estadual;Não Informado;Não;;;;;-31.77789;-52.34392
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN SANTA EULALIA;43101755;RS;Pelotas;Rural;A escola não está em área de localização diferenciada;Pública;"ETR PONTE CORDEIRO DE FARIAS SN, SN 96140-000 Pelotas - RS.";(53) 32247181;Estadual;Não Informado;Não;Sim;Até 50 matrículas de escolarização;Ensino Fundamental;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN SANTO ANTONIO;43101763;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"AV FERNANDO OSORIO 2835, 2835 TRES VENDAS. 96065-115 Pelotas - RS.";(53) 32734860;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-31.72656;-52.3434
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN SAO VICENTE DE PAULO;43101771;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"R ANCHIETA 3420, 3420 CENTRO. 96015-420 Pelotas - RS.";(53) 32223348;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-31.75487;-52.33424
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN VISCONDE DE SOUZA SOARES;43101780;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"R JORNALISTA WALDEMAR COUFAL 191, 191 FRAGATA. 96030-050 Pelotas - RS.";(53) 32214875;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-31.75708;-52.39051
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEF PIRATININO DE ALMEIDA;43101798;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA DOMINGOS JOSE DE ALMEIDA, 4057 AREAL. 96085-470 Pelotas - RS.";(53) 32281649;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";"Atendimento Educacional Especializado, Atividade Complementar";;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS MED AREAL;43101801;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"AV JOSE DOMINGOS DE ALMEIDA 2684, 2684 AREAL. 96085-470 Pelotas - RS.";(53) 32289419;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";Atendimento Educacional Especializado;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS MED DR JOAQUIM DUVAL;43101810;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"R BARAO DE TRAMANDAI 980 PY CRESPO, 980 PY CRESPO. TRES VENDAS. 96065-240 Pelotas - RS.";(53) 32231433;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";Atendimento Educacional Especializado;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO SINODAL ALFREDO SIMON;43101828;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA REVERENDO ALFREDO SIMON, 550 TRES VENDAS. 96065-773 Pelotas - RS.";(53) 32739400;Privada;Filantrópica;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Ensino Médio";;-31.71336;-52.34922
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;INST EST EDUC ASSIS BRASIL;43101836;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"R ANTONIO DOS ANJOS 296, 296 CENTRO. 96020-700 Pelotas - RS.";(53) 32279099;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos";Atendimento Educacional Especializado;-31.75647;-52.33405
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEF MINISTRO ARTHUR DE SOUZA COSTA;43101860;RS;Pelotas;Rural;A escola não está em área de localização diferenciada;Pública;"BR 392 - KM 87, SN CASCATA. 96140-000 Pelotas - RS.";(53) 32775365;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atividade Complementar;-31.62381;-52.50403
ESCOLA PARALISADA;ESC DE ENS FUND UNIAO;43101879;RS;Pelotas;Urbana;Não Informado;Privada;"ZONA URBANA, CENTRO. 96010-000 Pelotas - RS.";(53) 32251566;Privada;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS MED ADOLFO FETTER;43101887;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"AV PINHEIRO MACHADO 823, 823 FRAGATA. 96040-500 Pelotas - RS.";(53) 32211881;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";Atendimento Educacional Especializado;-31.74871;-52.38297
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COL ESTADUAL CASSIANO DO NASCIMENTO;43101895;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"AV DOM JOAQUIM 671, 671 CENTRO. 96020-260 Pelotas - RS.";(53) 32230144;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação Profissional";Atendimento Educacional Especializado;-31.74569;-52.3361
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEF LIMA E SILVA;43101909;RS;Pelotas;Rural;Área remanescente de quilombos;Pública;"COLONIA OLIVEIRA, S/N ZONA RURAL. 4º DISTRITO. 96110-000 Pelotas - RS.";(53) 981111064;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC TECNICA EST PROFESSORA SYLVIA MELLO;43101917;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"R EVARISTO DA VEIGA 75, 75 FRAGATA. 96040-680 Pelotas - RS.";(53) 32715200;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação Profissional";;-31.75528;-52.37277
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEF EVARISTO DA VEIGA;43101925;RS;Pelotas;Rural;A escola não está em área de localização diferenciada;Pública;"COLONIA PICADA DO ARROIO GRANDE, S/N COLONIA SANTA SILVANA. 96110-000 Pelotas - RS.";(53) 984274782;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-31.36882;-52.30962
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEF DR BERCHON;43101941;RS;Pelotas;Rural;A escola não está em área de localização diferenciada;Pública;"COLONIA OSORIO, S/N ESTRADA SANTA SILVAN. 3º DISTRITO - CERRITO ALEGRE. 96105-000 Pelotas - RS.";(53) 32774145;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atividade Complementar;-31.51989;-52.27952
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEI MAL IGNACIO DE FREITAS ROLIM;43101968;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"PRACA DOMINGOS RODRIGUES, 32 PORTO. 96010-440 Pelotas - RS.";(53) 32275332;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-31.7809;-52.33455
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN ARCO IRIS;43101976;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"R GENERAL INOCENCIO QUEIROZ 2546, 2546 TRES VENDAS ARCO I. 96087-025 Pelotas - RS.";(53) 32776111;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN DR FRANKLIN OLIVE LEITE;43102000;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"R ERNANI OSMAR BLAAS SN, SN TRES VENDAS. 96065-770 Pelotas - RS.";(53) 32737990;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";Atendimento Educacional Especializado;-31.70871;-52.34776
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC ENS FUND LUTERANA EMANUEL;43102018;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Privada;"AVENIDA PINHEIRO MACHADO, 451 FRAGATA. 96040-500 Pelotas - RS.";(53) 32210683;Privada;Confessional;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-31.75255;-52.38346
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN NOSSA SENHORA DOS NAVEGANTES;43102026;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"R ZUMBI DOS PALMARES 295, 295 NAVEGANTES II. 96075-000 Pelotas - RS.";(53) 32794120;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-31.77085;-52.31984
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN PROFESSORA ZILDA MORRONE;43102034;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"R BARAO DE SANTA TECLA 587, 587 CENTRO. 96010-140 Pelotas - RS.";(53) 32257552;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-31.76317;-52.34403
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN PROFESSOR LUIS CARLOS CORREA DA SILVA;43102042;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"R ARNALDO DA SILVA FERREIRA 100 GUABIROBA, 100 GUABIROBA. FRAGATA. 96040-050 Pelotas - RS.";;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-31.74677;-52.36812
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN PARQUE DO OBELISCO;43102050;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"R JOAQUIM ALVES DA FONSECA 158, 158 AREAL. 96085-510 Pelotas - RS.";(53) 32282488;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";Atendimento Educacional Especializado;-31.74218;-52.30385
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN JARDIM DE ALLAH;43102069;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"AV AVENIDA FERNANDO OSORIO 7430, 7430 TRES VENDAS. 96070-861 Pelotas - RS.";;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-31.68429;-52.33965
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS MED DR EDMAR FETTER;43102077;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"R CINCO 100 COL VERDE, 100 COL VERDE. LARANJAL. 96090-572 Pelotas - RS.";(53) 32263898;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";;-31.75434;-52.24067
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC LUTERANA DE ENS FUN DA REDENCAO;43102085;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA VOLUNTARIOS DA PATRIA, 1641 CENTRO. 96015-730 Pelotas - RS.";(53) 32279809;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-31.76426;-52.34779
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEF NUCLEO HABITACIONAL DUNAS;43102107;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA TRES, 470 LOTEAMENTO DUNAS. AREAL. 96081-120 Pelotas - RS.";(53) 32741247;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";"Atendimento Educacional Especializado, Atividade Complementar";-31.73839;-52.3184
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEF NUCLEO HABITACIONAL GETULIO VARGAS;43102115;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA DOZE, 95 GETULIO VARGAS. TRES VENDAS. 96071-410 Pelotas - RS.";(53) 32832397;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";"Atendimento Educacional Especializado, Atividade Complementar";-31.70275;-52.31252
ESCOLA PARALISADA;EEI CLUBINHO DO APRENDER;43115039;RS;Pelotas;Urbana;Não Informado;Privada;"AVENIDA VINTE E CINCO DE JULHO, 1157 TRES VENDAS. 96065-620 Pelotas - RS.";;Privada;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEI AMIGOS DO SABER;43115160;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Privada;"AVENIDA FERNANDO OSORIO, 5115 TRES VENDAS. 96070-741 Pelotas - RS.";(53) 32812704;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEI TURMA DO PUFF;43116060;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA DOUTOR ROMANO, 785 LINDOIA. 96065-650 Pelotas - RS.";;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEI CASTELO DAS ESTRELINHAS;43116256;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Privada;"AVENIDA DUQUE DE CAXIAS, 569 FRAGATA. 96030-001 Pelotas - RS.";(53) 984228513;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;IFSUL - CENTRO DE REFERENCIA PELOTAS;43143580;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA GONCALVES CHAVES, 3218 CENTRO. 96015-560 Pelotas - RS.";(53) 30266050;Federal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Ensino Médio, Educação Profissional";;-31.7577856;-52.33337696
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEI ARTE DE APRENDER;43155901;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA MATIAS CARDOSO, 311 AREAL. 96085-230 Pelotas - RS.";(53) 31990290;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEI CRESCER BRINCANDO;43155936;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA QUINZE DE NOVEMBRO, 759 CENTRO. 96015-000 Pelotas - RS.";(53) 981366349;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;;
ESCOLA PARALISADA;EEI SER E APRENDER;43155944;RS;Pelotas;Urbana;Não Informado;Privada;"RUA ANDRADE NEVES, 3367 CENTRO. 96020-080 Pelotas - RS.";(53) 30275788;Privada;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEI PROF MARIO OSORIO MAGALHAES;43155952;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA FELIX XAVIER DA CUNHA, 909 CENTRO. 96010-000 Pelotas - RS.";(53) 32286508;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;INSTITUTO EDUCACIONAL MQ EIRELI;43155987;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA DOUTOR BRUNO CHAVES, 300A TRES VENDAS. 96055-040 Pelotas - RS.";(53) 41411301;Privada;Particular;Não;Em Tramitação;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ED BAS OSMAR DA ROCHA GRAFULHA;43171591;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"R OLENKA LITRAN DE SOUZA SOARES 20, 20 FRAGATA. 96040-490 Pelotas - RS.";(53) 32713085;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";Atendimento Educacional Especializado;-31.75539;-52.38371
ESCOLA PARALISADA;CRI TURMA DA ALEGRIA;43171621;RS;Pelotas;Urbana;Não Informado;Privada;"RUA VEREADOR PAULO ACI TEIXEIRA, 1825 SITIO FLORESTA. 96070-137 Pelotas - RS.";(53) 991081380;Privada;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEI MANIA DE BRINCAR;43171630;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA BARAO DE SANTA TECLA, 617 CENTRO. 96010-140 Pelotas - RS.";(53) 991580720;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEI TURMINHA D MAIS;43172580;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA OLAVO BILAC, 861 FRAGATA. 96030-400 Pelotas - RS.";(53) 33077496;Privada;Particular;Não;Em Tramitação;Até 50 matrículas de escolarização;Educação Infantil;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEI GOTINHAS DE LUZ BRILHANTE;43172849;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA BENJAMIM CONSTANT, 1812 CENTRO. 96010-020 Pelotas - RS.";;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;-31.7782965861557;-52.3438369017582
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEI TURMA DA BAGUNCA;43172857;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Privada;"AVENIDA VINTE E CINCO DE JULHO, 508 TRES VENDAS. 96065-620 Pelotas - RS.";(53) 984080988;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA DE ENSINO FUNDAMENTAL E MEDIO SANTA MONICA;43173217;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA MARECHAL DEODORO, 673 CENTRO. 96020-220 Pelotas - RS.";(53) 32274281;Privada;Particular;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";;-31.76724;-52.34441
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO SANTA MONICA ALTOS DO LARANJAL;43173390;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Privada;"AVENIDA ADOLFO FETTER, 3751 LARANJAL. 96090-840 Pelotas - RS.";(53) 30259844;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Ensino Médio";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA DE EDUCACAO INFANTIL RECANTO MIRIM;43174418;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA RUBENS AVILA RODRIGUES, 471 ARCO IRIS. 96087-140 Pelotas - RS.";(53) 32776547;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ALBERT COLEGIO;43175309;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA ANDRADE NEVES, 2403 CENTRO. 96020-080 Pelotas - RS.";(53) 32272756;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Médio, Educação de Jovens Adultos";;-31.76275;-52.34014
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;SOCIEDADE EDUCACIONAL MARIO QUINTANA LTDA;43175317;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA LUIZ BRAIILE, 197 TRES VENDAS. 96055-080 Pelotas - RS.";(53) 33216767;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";;;
ESCOLA PARALISADA;UNI COLEGIO - ENS FUND ANOS FINAIS E MEDIO NA MOD EJA;43177190;RS;Pelotas;Urbana;Não Informado;Privada;"RUA QUINZE DE NOVEMBRO, 712/714 CENTRO. 96015-000 Pelotas - RS.";(53) 32255059;Privada;Não Informado;Não;;;;;-31.76595;-52.34013
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO OBJETIVO PELOTAS;43177239;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA MARECHAL FLORIANO, 107 CENTRO. 96015-440 Pelotas - RS.";(53) 32275150;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação de Jovens Adultos;;-31.76902;-52.34227
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEF PROFESSORA DAURA FERREIRA PINTO;43177697;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA ALFREDO THEODORO BORN, SEM NUMERO TRES VENDAS. 96070-380 Pelotas - RS.";(53) 32780919;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-31.64592;-52.33128
